City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
baykit,61.67,96.37,72.27,50,8,5.48,RU,1624151612
walvis bay,-22.9575,14.5053,65.17,52,3,3.85,NA,1624151612
talnakh,69.4865,88.3972,48.63,90,100,2.86,RU,1624151613
qaanaaq,77.484,-69.3632,38.53,58,8,2.55,GL,1624151613
longyearbyen,78.2186,15.6401,40.84,75,75,20.71,SJ,1624151613
hithadhoo,-0.6,73.0833,83.62,68,83,13.11,MV,1624151614
rikitea,-23.1203,-134.9692,75.33,76,0,18.16,PF,1624151614
ambilobe,-13.2,49.05,67.03,82,51,3.96,MG,1624151614
yerbogachen,61.2767,108.0108,65.21,68,98,3.83,RU,1624151615
busselton,-33.65,115.3333,55.09,85,24,10.89,AU,1624151615
caravelas,-17.7125,-39.2481,72.66,70,100,9.17,BR,1624151615
torbay,47.6666,-52.7314,58.87,87,100,8.19,CA,1624151616
riyadh,24.6877,46.7219,78.94,18,0,5.75,SA,1624151364
jutai,-5.1833,-68.9,72.3,96,33,2.62,BR,1624151616
georgetown,5.4112,100.3354,79.9,85,20,3.44,MY,1624151616
koumac,-20.5667,164.2833,76.26,63,60,8.61,NC,1624151616
bandarbeyla,9.4942,50.8122,79.3,69,21,27.4,SO,1624151617
vao,-22.6667,167.4833,72.72,76,79,19.84,NC,1624151617
barrow,71.2906,-156.7887,38.77,80,97,10.47,US,1624151617
kyzyl-suu,42.3414,78.0056,57.18,59,100,3.36,KG,1624151618
ilulissat,69.2167,-51.1,44.62,65,84,6.91,GL,1624151618
kahului,20.8947,-156.47,79.84,79,43,8.99,US,1624151137
monduli,-3.3,36.45,54.46,91,72,6.69,TZ,1624151618
port elizabeth,-33.918,25.5701,63.09,37,63,8.52,ZA,1624151619
tura,25.5198,90.2201,72.27,97,100,6.22,IN,1624151619
wanxian,30.8039,108.3897,68.65,94,100,2.57,CN,1624151619
lasa,46.6166,10.7002,67.03,89,13,3.27,IT,1624151620
punta arenas,-53.15,-70.9167,39.31,81,0,18.41,CL,1624151620
asau,46.4333,26.4,61.39,100,79,5.19,RO,1624151620
ushuaia,-54.8,-68.3,38.86,81,20,19.57,AR,1624151492
mount gambier,-37.8333,140.7667,52.9,63,86,2.93,AU,1624151621
alice springs,-23.7,133.8833,56.75,54,6,12.66,AU,1624151381
new norfolk,-42.7826,147.0587,47.91,72,10,2.33,AU,1624151621
jamestown,42.097,-79.2353,64.29,93,100,5.99,US,1624151622
norfolk,42.1668,-71.2495,80.29,77,100,11.5,US,1624151622
norman wells,65.282,-126.8329,70.3,28,10,11.3,CA,1624151622
